Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
20191362K0768,414497,431881,-1.781471,53.783070,13,3,1,1,20/02/2019,4,13:40,200,E08000032,3,6177,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010839,
20191362K0868,416678,433452,-1.748288,53.797126,13,2,1,1,20/02/2019,4,14:30,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01033693,
20191362K1100,417819,434686,-1.730896,53.808179,13,2,1,1,26/02/2019,3,16:31,200,E08000032,3,658,6,30,0,-1,-1,0,0,4,7,1,1,0,0,1,1,E01010828,
20191362L1633,406271,442137,-1.906107,53.875412,13,3,2,1,21/02/2019,5,18:05,200,E08000032,3,650,6,30,1,2,3,629,0,5,4,1,1,0,0,1,2,E01010702,
20191362M0779,415903,433409,-1.760056,53.796763,13,3,1,1,22/02/2019,6,12:39,200,E08000032,4,6144,6,30,6,4,3,6181,0,0,1,1,1,0,0,1,2,E01033691,
20191362M1177,405568,441307,-1.916814,53.867960,13,3,1,1,22/02/2019,6,13:35,200,E08000032,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,2,E01010719,
20191362M1495,415983,429940,-1.759019,53.765582,13,2,2,1,22/02/2019,6,17:55,200,E08000032,3,6036,3,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010746,
20191362N1705,417447,433051,-1.736636,53.793497,13,3,3,2,23/02/2019,7,19:34,200,E08000032,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01010606,
20191362O0485,415745,430244,-1.762614,53.768321,13,3,2,1,24/02/2019,1,08:05,200,E08000032,3,641,3,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010745,
20191362O1829,407448,441491,-1.888220,53.869591,13,3,2,1,24/02/2019,1,20:26,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010703,
20191362P0747,415790,433213,-1.761781,53.795005,13,3,1,1,25/02/2019,2,12:40,200,E08000032,6,0,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01010834,
20191362P1000,406374,442085,-1.904541,53.874943,13,2,1,1,25/02/2019,2,14:48,200,E08000032,3,650,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,1,E01010702,
20191362P1823,403263,435123,-1.951929,53.812398,13,2,3,1,25/02/2019,2,20:00,200,E08000032,3,6033,1,30,2,4,4,6141,0,0,4,1,1,0,0,2,1,E01010858,
20191362Q0571,416421,433116,-1.752207,53.794114,13,3,1,1,26/02/2019,3,11:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01033690,
20191362Q1330,416388,434898,-1.752614,53.810131,13,3,1,1,26/02/2019,3,17:00,200,E08000032,3,6177,6,30,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01010599,
20191362R0445,417100,433015,-1.741906,53.793184,13,3,2,1,21/02/2019,5,15:50,200,E08000032,6,0,6,30,3,4,3,647,0,0,1,1,1,0,0,1,2,E01010613,
20191362R1526,406201,440741,-1.907199,53.862866,13,3,2,1,27/02/2019,4,18:18,200,E08000032,3,6035,6,30,3,2,6,0,0,4,1,1,1,0,0,1,1,E01010710,
20191362R1803,412703,430116,-1.808769,53.767253,13,3,2,1,27/02/2019,4,20:10,200,E08000032,4,6147,6,30,9,4,6,0,0,0,4,1,1,0,0,1,1,E01033695,
20191362S1988,417215,433220,-1.740149,53.795023,13,3,2,3,28/02/2019,5,22:14,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01010606,
2019136310287,418374,431404,-1.722662,53.778662,13,3,1,1,01/03/2019,6,07:50,200,E08000032,3,6177,6,30,6,2,6,0,0,4,1,1,1,0,0,1,1,E01010609,
2019136321383,418478,434541,-1.720897,53.806853,13,3,2,1,02/03/2019,7,16:50,200,E08000032,6,0,6,30,6,2,6,0,0,4,1,1,2,0,0,1,1,E01010827,
